"top30_miRNAs"
"hsa-miR-187-5p"
"hsa-miR-1269a"
"hsa-miR-184"
"hsa-miR-196a-5p"
"hsa-miR-205-5p"
"hsa-miR-196a-5p"
"hsa-miR-203b-5p"
"hsa-miR-375"
"hsa-miR-9-5p"
"hsa-miR-9-5p"
"hsa-miR-224-5p"
"hsa-miR-190b"
"hsa-miR-20b-5p"
"hsa-miR-149-5p"
"hsa-miR-363-5p"
"hsa-miR-577"
"hsa-miR-135b-5p"
"hsa-miR-150-5p"
"hsa-miR-1247-5p"
"hsa-miR-4724-5p"
"hsa-miR-3065-5p"
"hsa-miR-31-5p"
"hsa-miR-452-5p"
"hsa-miR-135a-5p"
"hsa-miR-3200-5p"
"hsa-miR-33b-5p"
"hsa-miR-26a-5p"
"hsa-miR-202-5p"
"hsa-miR-675-5p"
"hsa-miR-4326"
